7,24.0,879.0,1028.0,36.0,24.0,1697.0,1120.0,30.0,30.0,2225.0,1056.0,26.0,23.0,2302.0,732.0,27.0,30.0,1640.0,1462.0,28.0,31.0,2055.0,1484.0,23.0,20.0,1914.0,1160.0,23.0,26.0,2006.0,475.0,20.0,22.0,1858.0,798.0,26.0,21.0,1688.0,854.0,28.0,26.0,1702.0,479.0,30.0,25.0,2119.0,1165.0,18.0,30.0,2234.0,824.0,32.0,26.0,2816.0,1105.0,32.0,35.0,2221.0,1786.0,26.0,27.0,2576.0,878.0,30.0,29.0,1804.0,999.0,25.0,26.0,2239.0,351.0,24.0,26.0,1673.0,316.0,26.0,24.0,1598.0,725.0,33.0,29.0,1660.0,1787.0,27.0,25.0,2587.0,1382.0,25.0,14.0,2556.0,901.5,14.0
8,24.0,880.0,1028.0,36.0,24.0,1698.0,1120.0,30.0,29.0,2225.0,1059.0,27.0,22.0,2302.0,736.0,28.0,29.0,1642.0,1464.0,27.0,31.0,2055.0,1486.0,23.0,20.0,1915.0,1161.0,23.0,26.0,2007.0,475.0,20.0,22.0,1859.0,798.0,25.0,21.0,1690.0,855.0,28.0,26.0,1704.0,480.0,32.0,24.0,2118.0,1167.0,19.0,29.0,2234.0,824.0,31.0,26.0,2816.0,1105.5,32.0,34.0,2220.0,1790.0,26.0,28.0,2574.0,880.0,30.0,29.0,1804.0,1000.0,25.0,25.0,2238.0,348.0,24.0,26.0,1674.0,315.0,26.0,23.0,1600.0,726.0,33.0,30.0,1662.0,1788.0,28.0,25.0,2588.0,1383.0,24.0,14.0,2554.6,903.0,14.0
9,24.0,881.0,1029.0,36.0,24.0,1699.0,1120.0,30.0,28.0,2226.0,1062.0,28.0,22.0,2301.0,738.0,28.0,28.0,1644.0,1466.0,26.0,31.0,2055.0,1488.0,23.0,20.0,1916.0,1162.0,23.0,27.0,2008.0,476.0,21.0,22.0,1860.0,799.0,25.0,20.0,1693.0,856.0,27.0,26.0,1705.0,481.0,31.0,24.0,2118.0,1170.0,20.0,28.0,2234.0,825.0,30.0,26.0,2816.0,1106.0,32.0,33.0,2219.0,1793.0,26.0,26.0,2571.0,883.0,30.0,30.0,1805.0,1002.0,26.0,25.0,2237.0,346.0,24.0,26.0,1675.0,314.0,27.0,22.0,1601.0,728.0,34.0,30.5,1662.5,1788.0,28.0,25.0,2589.0,1385.0,24.0,14.0,2553.2,904.5,14.0
10,24.0,882.0,1029.0,36.0,24.0,1701.0,1121.0,30.0,28.0,2227.0,1064.0,27.0,23.0,2300.0,741.0,28.0,27.0,1646.0,1468.0,25.0,30.0,2054.0,1491.0,22.0,21.0,1917.0,1163.0,22.0,27.0,2010.0,476.0,21.0,22.0,1861.0,800.0,25.0,20.0,1695.0,857.0,27.0,26.0,1707.0,482.0,31.0,25.0,2118.0,1170.0,20.0,28.0,2234.0,826.0,30.0,26.0,2817.0,1106.0,32.0,32.0,2218.0,1797.0,26.0,25.0,2568.0,886.0,30.0,30.0,1805.0,1003.0,26.0,25.0,2237.0,344.0,24.0,26.0,1676.0,313.0,28.0,21.0,1603.0,729.0,34.0,31.0,1663.0,1788.0,28.0,26.0,2590.0,1386.0,23.0,14.0,2551.8,906.0,14.0
11,24.0,883.0,1030.0,36.0,24.0,1702.0,1121.0,30.0,28.0,2228.0,1067.0,27.0,24.0,2299.0,744.0,28.0,26.0,1648.0,1471.0,24.0,30.0,2054.0,1493.0,22.0,21.0,1918.0,1164.0,22.0,27.0,2011.0,477.0,21.0,22.0,1862.0,800.0,24.0,20.0,1697.0,858.0,27.0,26.0,1708.0,483.0,31.0,26.0,2118.0,1171.0,20.0,28.0,2234.0,828.0,29.0,26.0,2817.3333333333335,1106.3333333333333,32.0,31.0,2217.0,1800.0,26.0,24.0,2566.0,890.0,30.0,30.0,1805.0,1004.0,26.0,24.0,2236.0,342.0,24.0,27.0,1677.0,313.0,29.0,20.0,1604.0,730.0,35.0,31.0,1664.0,1788.0,28.0,26.0,2591.0,1388.0,23.0,14.0,2550.4,907.5,14.0
12,24.0,884.0,1030.0,36.0,24.0,1703.0,1121.0,30.0,28.0,2230.0,1070.0,27.0,24.0,2298.0,746.0,28.0,25.0,1650.0,1473.0,23.0,30.0,2054.0,1495.0,22.0,21.0,1919.0,1165.0,22.0,27.0,2012.0,477.0,21.0,22.0,1863.0,801.0,24.0,20.0,1699.0,859.0,27.0,26.0,1710.0,485.0,31.0,28.0,2118.0,1171.0,20.0,28.0,2234.0,830.0,29.0,26.0,2817.6666666666665,1106.6666666666667,32.0,30.0,2216.0,1804.0,26.0,23.0,2560.0,893.0,33.0,30.0,1805.0,1005.0,26.0,24.0,2235.0,340.0,24.0,27.0,1677.0,312.0,29.0,20.0,1606.0,732.0,36.0,32.0,1665.0,1788.0,28.0,26.0,2592.0,1389.0,22.0,14.0,2549.0,909.0,14.0
13,24.0,886.0,1030.0,36.0,24.0,1704.0,1122.0,30.0,28.0,2231.0,1073.0,27.0,25.0,2297.0,749.0,28.0,24.0,1652.0,1475.0,22.0,29.0,2053.0,1497.0,22.0,21.0,1919.0,1166.0,22.0,27.0,2014.0,478.0,21.0,22.0,1864.0,802.0,24.0,20.0,1701.0,860.0,26.0,26.0,1712.0,486.0,31.0,29.0,2118.0,1172.0,21.0,29.0,2234.0,832.0,28.0,26.0,2818.0,1107.0,32.0,31.0,2214.0,1805.0,26.0,22.0,2554.0,896.0,36.0,31.0,1805.0,1007.0,27.0,24.0,2234.0,338.0,24.0,27.0,1678.0,311.0,30.0,20.0,1608.0,732.0,34.0,32.0,1666.0,1788.0,28.0,26.0,2593.0,1390.0,22.0,14.0,2546.8,913.0,14.0
14,24.0,887.0,1031.0,36.0,24.0,1705.0,1122.0,30.0,28.0,2232.0,1076.0,26.0,26.0,2296.0,752.0,28.0,24.0,1654.0,1478.0,22.0,29.0,2053.0,1499.0,22.0,21.0,1920.0,1167.0,22.0,27.0,2015.0,478.0,21.0,22.0,1866.0,804.0,23.0,20.0,1703.0,861.0,26.0,26.0,1713.0,487.0,30.0,31.0,2118.0,1172.0,21.0,29.0,2234.0,834.0,28.0,26.0,2818.3333333333335,1107.0,32.0,32.0,2213.0,1806.0,26.0,22.0,2552.0,897.0,35.0,31.0,1805.0,1008.0,27.0,24.0,2234.0,336.0,24.0,27.0,1679.0,310.0,31.0,20.0,1610.0,733.0,33.0,33.0,1667.0,1788.0,28.0,27.0,2594.0,1392.0,21.0,14.0,2544.6,917.0,14.0
15,24.0,888.0,1031.0,36.0,24.0,1707.0,1122.0,30.0,28.0,2234.0,1079.0,26.0,27.0,2295.0,755.0,28.0,24.0,1655.0,1479.0,22.0,29.0,2053.0,1501.0,22.0,21.0,1921.0,1168.0,22.0,27.0,2016.0,479.0,21.0,22.0,1868.0,806.0,23.0,20.0,1705.0,862.0,26.0,25.0,1715.0,488.0,30.0,32.0,2118.0,1173.0,21.0,30.0,2234.0,836.0,28.0,26.0,2818.6666666666665,1107.0,32.0,33.0,2211.0,1807.0,26.0,23.0,2551.0,899.0,35.0,31.0,1805.0,1009.0,27.0,24.0,2233.0,334.0,24.0,27.0,1680.0,309.0,31.0,20.0,1612.0,734.0,32.0,33.0,1668.0,1788.0,28.0,27.0,2595.0,1393.0,21.0,14.0,2542.4,921.0,14.0
16,24.0,889.0,1032.0,36.0,24.0,1708.0,1123.0,30.0,28.0,2235.0,1082.0,26.0,27.0,2294.0,757.0,28.0,24.0,1656.0,1480.0,22.0,28.0,2052.0,1503.0,22.0,21.0,1922.0,1169.0,22.0,28.0,2018.0,480.0,22.0,22.0,1870.0,808.0,22.0,20.0,1708.0,864.0,26.0,25.0,1717.0,490.0,30.0,34.0,2118.0,1174.0,22.0,30.0,2233.0,837.0,27.0,26.0,2819.0,1107.0,32.0,34.0,2210.0,1808.0,26.0,23.0,2549.0,900.0,34.0,31.0,1805.0,1010.0,27.0,24.0,2232.0,332.0,24.0,27.0,1681.0,308.0,32.0,20.0,1614.0,735.0,31.0,34.0,1669.0,1788.0,29.0,27.0,2596.0,1395.0,20.0,14.0,2540.2,925.0,14.0
17,24.0,890.0,1032.0,36.0,24.0,1709.0,1123.0,30.0,28.0,2236.0,1085.0,26.0,28.0,2293.0,760.0,28.0,24.0,1658.0,1481.0,22.0,28.0,2052.0,1505.0,22.0,21.0,1923.0,1170.0,22.0,27.0,2019.0,480.0,22.0,22.0,1872.0,810.0,22.0,20.0,1709.0,864.0,26.0,26.0,1718.0,491.0,30.0,31.0,2118.0,1179.0,21.0,31.0,2233.0,838.0,26.0,26.0,2819.0,1108.0,32.0,35.0,2209.0,1808.0,26.0,24.0,2548.0,902.0,34.0,32.0,1806.0,1012.0,28.0,24.0,2231.0,330.0,24.0,27.0,1682.0,307.0,33.0,21.0,1617.0,736.0,30.0,34.5,1669.5,1788.0,29.0,27.0,2597.0,1396.0,20.0,14.0,2538.0,929.0,14.0
18,24.0,891.0,1033.0,36.0,24.0,1710.0,1123.0,30.0,28.0,2238.0,1088.0,26.0,29.0,2292.0,763.0,28.0,24.0,1659.0,1482.0,22.0,28.0,2052.0,1508.0,22.0,22.0,1924.0,1172.0,22.0,27.0,2020.0,481.0,23.0,22.0,1872.0,811.0,22.0,21.0,1711.0,865.0,26.0,26.0,1720.0,492.0,30.0,29.0,2118.0,1184.0,20.0,32.0,2232.0,839.0,25.0,26.0,2819.5,1108.0,32.0,37.0,2208.0,1809.0,26.0,23.0,2547.0,904.0,32.0,31.0,1806.0,1013.0,27.0,24.0,2230.0,328.0,24.0,27.0,1683.0,306.0,33.0,21.0,1619.0,736.0,28.0,35.0,1670.0,1788.0,29.0,28.0,2598.0,1398.0,20.0,14.0,2536.0,932.375,14.0
19,24.0,893.0,1033.0,36.0,24.0,1712.0,1124.0,30.0,28.0,2238.0,1090.0,27.0,30.0,2292.0,766.0,28.0,24.0,1660.0,1483.0,23.0,28.0,2051.0,1508.0,22.0,22.0,1924.5,1172.5,22.0,27.0,2021.0,482.0,23.0,22.0,1873.0,812.0,22.0,22.0,1712.0,866.0,26.0,26.0,1722.0,494.0,30.0,26.0,2118.0,1189.0,19.0,33.0,2232.0,840.0,24.0,26.0,2820.0,1108.0,32.0,38.0,2207.0,1809.0,26.0,22.0,2547.0,907.0,30.0,30.0,1806.0,1015.0,27.0,24.0,2229.0,326.0,24.0,27.0,1684.0,305.0,34.0,21.0,1621.0,737.0,27.0,35.0,1671.0,1788.0,29.0,28.0,2597.0,1399.0,20.0,14.0,2534.0,935.75,14.0
20,24.0,894.0,1033.0,36.0,23.0,1712.0,1124.0,29.0,29.0,2238.0,1092.0,28.0,29.0,2291.0,769.0,28.0,24.0,1662.0,1484.0,23.0,29.0,2050.0,1509.0,22.0,22.0,1925.0,1173.0,22.0,27.0,2022.0,482.0,24.0,22.0,1874.0,813.0,22.0,22.0,1714.0,867.0,26.0,25.0,1723.0,495.0,29.0,24.0,2118.0,1194.0,18.0,34.0,2232.0,842.0,24.0,26.0,2820.0,1108.5,32.0,40.0,2206.0,1810.0,26.0,21.0,2546.0,910.0,28.0,29.0,1806.0,1017.0,26.0,24.0,2228.0,324.0,24.0,27.0,1685.0,304.0,35.0,21.0,1623.0,738.0,26.0,36.0,1672.0,1788.0,29.0,28.0,2596.0,1400.0,21.0,14.0,2532.0,939.125,14.0
21,24.0,895.0,1034.0,36.0,23.0,1713.0,1124.0,29.0,29.0,2238.0,1094.0,29.0,29.0,2290.0,772.0,28.0,24.0,1663.0,1485.0,23.0,30.0,2049.0,1509.0,22.0,22.0,1925.0,1174.0,22.0,27.0,2023.0,483.0,24.0,22.0,1875.0,814.0,22.0,23.0,1715.0,868.0,26.0,25.0,1724.0,497.0,29.0,24.0,2117.0,1196.0,17.0,32.0,2231.0,844.0,24.0,26.0,2820.0,1109.0,32.0,38.0,2204.0,1813.0,26.0,20.0,2546.0,913.0,26.0,28.0,1806.0,1019.0,26.0,24.0,2227.0,322.0,24.0,28.0,1686.0,304.0,36.0,21.0,1625.0,739.0,25.0,36.0,1673.0,1788.0,29.0,28.0,2595.0,1402.0,22.0,14.0,2530.0,942.5,14.0
22,24.0,896.0,1034.0,36.0,23.0,1714.0,1125.0,28.0,30.0,2238.0,1096.0,30.0,29.0,2289.0,775.0,28.0,24.0,1664.0,1486.0,23.0,31.0,2048.0,1510.0,23.0,22.0,1926.0,1174.0,22.0,27.0,2024.0,484.0,25.0,22.0,1876.0,815.0,22.0,24.0,1717.0,869.0,26.0,25.0,1726.0,498.0,29.0,25.0,2116.0,1198.0,17.0,31.0,2231.0,846.0,24.0,26.0,2821.0,1109.0,32.0,37.0,2203.0,1816.0,26.0,20.0,2546.0,916.0,24.0,27.0,1806.0,1021.0,26.0,24.0,2226.0,320.0,24.0,28.0,1687.0,303.0,35.0,22.0,1628.0,740.0,24.0,37.0,1674.0,1788.0,29.0,28.0,2594.0,1403.0,22.0,14.0,2528.0,945.875,14.0
23,24.0,897.0,1035.0,36.0,23.0,1715.0,1125.0,28.0,30.0,2239.0,1097.0,29.0,29.0,2288.0,778.0,28.0,24.0,1666.0,1488.0,24.0,32.0,2047.0,1510.0,23.0,22.0,1926.0,1175.0,22.0,27.0,2025.0,485.0,26.0,22.0,1877.0,816.0,22.0,24.0,1718.0,870.0,26.0,25.0,1727.0,500.0,28.0,26.0,2115.0,1201.0,16.0,30.0,2231.0,848.0,24.0,26.0,2821.3333333333335,1109.3333333333333,32.0,36.0,2202.0,1820.0,26.0,21.0,2544.0,917.0,24.0,26.0,1807.0,1022.0,25.0,24.0,2226.0,318.0,24.0,28.0,1689.0,303.0,35.0,22.0,1629.0,740.0,23.0,37.0,1675.0,1788.0,29.0,28.0,2593.0,1404.0,23.0,14.0,2526.0,949.25,14.0
24,24.0,898.0,1035.0,36.0,23.0,1715.0,1126.0,28.0,31.0,2241.0,1098.0,28.0,29.0,2288.0,781.0,28.0,24.0,1667.0,1488.0,24.0,33.0,2046.0,1511.0,23.0,23.0,1927.0,1176.0,22.0,26.0,2026.0,485.0,26.0,22.0,1878.0,817.0,22.0,25.0,1720.0,871.0,26.0,25.0,1728.0,501.0,28.0,27.0,2114.0,1203.0,16.0,29.0,2231.0,850.0,24.0,26.0,2821.6666666666665,1109.6666666666667,32.0,34.0,2200.0,1823.0,26.0,22.0,2542.0,918.0,25.0,25.0,1807.0,1024.0,25.0,24.0,2224.0,316.0,24.0,28.0,1691.0,302.0,35.0,22.0,1631.0,741.0,23.0,38.0,1676.0,1788.0,30.0,29.0,2592.0,1406.0,24.0,14.0,2524.0,952.625,14.0
25,24.0,900.0,1035.0,36.0,23.0,1716.0,1126.0,27.0,32.0,2242.0,1099.0,27.0,29.0,2287.0,784.0,28.0,25.0,1668.0,1489.0,24.0,34.0,2046.0,1512.0,24.0,23.0,1927.0,1177.0,22.0,26.0,2027.0,486.0,27.0,22.0,1879.0,818.0,22.0,26.0,1722.0,872.0,26.0,25.0,1730.0,503.0,28.0,28.0,2114.0,1206.0,16.0,28.0,2231.0,853.0,24.0,26.0,2822.0,1110.0,32.0,33.0,2199.0,1826.0,27.0,24.0,2540.0,919.0,25.0,24.0,1807.0,1026.0,25.0,24.0,2223.0,315.0,24.0,28.0,1693.0,302.0,35.0,22.0,1632.0,742.0,23.0,37.0,1677.0,1788.0,29.0,29.0,2591.0,1407.0,24.0,14.0,2522.0,956.0,14.0
26,24.0,901.0,1036.0,36.0,23.0,1717.0,1127.0,27.0,33.0,2244.0,1100.0,27.0,29.0,2286.0,787.0,28.0,25.0,1669.0,1490.0,24.0,32.0,2045.0,1515.0,23.0,23.0,1928.0,1177.0,22.0,26.0,2028.0,487.0,27.0,22.0,1880.0,819.0,22.0,24.0,1723.0,874.0,24.0,24.0,1731.0,504.0,27.0,27.0,2113.0,1208.0,16.0,26.0,2230.0,855.0,24.0,26.0,2822.0,1110.0,31.0,32.0,2198.0,1830.0,27.0,25.0,2538.0,920.0,26.0,23.0,1807.0,1028.0,24.0,24.0,2221.0,314.0,24.0,28.0,1695.0,301.0,35.0,22.0,1634.0,742.0,22.0,37.0,1678.0,1789.0,29.0,29.0,2590.0,1408.0,25.0,14.0,2520.4444444444443,958.6666666666666,14.0
27,24.0,902.0,1036.0,36.0,23.0,1718.0,1127.0,27.0,33.0,2245.0,1101.0,26.0,28.0,2285.0,790.0,29.0,26.0,1670.0,1491.0,24.0,30.0,2044.0,1519.0,24.0,23.0,1928.0,1178.0,22.0,26.0,2029.0,487.0,28.0,22.0,1881.0,820.0,22.0,23.0,1724.0,877.0,23.0,24.0,1733.0,506.0,27.0,27.0,2112.0,1210.0,17.0,25.0,2230.0,857.0,24.0,26.5,2822.0,1110.5,31.0,30.0,2196.0,1833.0,27.0,27.0,2536.0,921.0,26.0,22.0,1807.0,1030.0,24.0,24.0,2220.0,312.0,25.0,28.0,1697.0,301.0,35.0,22.0,1635.0,743.0,22.0,36.0,1679.0,1789.0,29.0,29.0,2589.0,1410.0,26.0,14.0,2518.8888888888887,961.3333333333334,14.0
28,24.0,903.0,1037.0,36.0,23.0,1719.0,1127.0,26.0,34.0,2247.0,1102.0,25.0,28.0,2284.0,793.0,29.0,27.0,1672.0,1492.0,25.0,28.0,2043.0,1522.0,24.0,23.0,1929.0,1179.0,22.0,26.0,2030.0,488.0,28.0,22.0,1882.0,822.0,22.0,22.0,1726.0,880.0,22.0,24.0,1734.0,507.0,27.0,27.0,2112.0,1213.0,18.0,24.0,2230.0,859.0,24.0,27.0,2822.0,1111.0,31.0,29.0,2195.0,1836.0,27.0,28.0,2534.0,922.0,27.0,22.0,1808.0,1032.0,24.0,24.0,2218.0,311.0,25.0,28.0,1698.0,300.0,34.0,23.0,1637.0,744.0,22.0,36.0,1680.0,1790.0,29.0,29.0,2588.0,1411.0,26.0,14.0,2517.3333333333335,964.0,14.0
29,24.0,904.0,1037.0,36.0,23.0,1719.0,1128.0,26.0,35.0,2248.0,1103.0,24.0,28.0,2284.0,796.0,29.0,27.0,1673.0,1492.0,25.0,26.0,2042.0,1526.0,24.0,24.0,1930.0,1180.0,22.0,26.0,2031.0,489.0,29.0,22.0,1882.0,823.0,22.0,22.5,1726.5,880.5,22.5,24.0,1735.0,509.0,26.0,26.0,2111.0,1215.0,18.0,23.0,2230.0,861.0,24.0,27.333333333333485,2822.0,1111.3333333333333,31.0,28.0,2194.0,1840.0,28.0,30.0,2532.0,924.0,28.0,23.0,1808.0,1032.0,23.0,24.0,2217.0,310.0,25.0,28.0,1700.0,300.0,34.0,23.0,1638.0,744.0,21.0,35.0,1681.0,1791.0,29.0,29.0,2587.0,1412.0,27.0,14.0,2515.777777777778,966.6666666666666,14.0
30,24.0,906.0,1038.0,36.0,23.0,1720.0,1128.0,26.0,36.0,2250.0,1104.0,24.0,28.0,2283.0,799.0,29.0,28.0,1674.0,1493.0,25.0,24.0,2042.0,1530.0,24.0,24.0,1931.0,1180.0,21.0,26.0,2032.0,490.0,30.0,22.0,1883.0,824.0,22.0,23.0,1727.0,881.0,23.0,24.0,1737.0,510.0,26.0,26.0,2110.0,1217.0,19.0,22.0,2230.0,864.0,24.0,27.666666666666515,2822.0,1111.6666666666667,31.0,29.0,2193.0,1841.0,28.0,30.0,2530.0,926.0,28.0,24.0,1808.0,1032.0,23.0,24.0,2216.0,308.0,26.0,28.0,1702.0,299.0,34.0,23.0,1640.0,745.0,21.0,35.0,1682.0,1791.0,29.0,30.0,2586.0,1414.0,28.0,14.0,2514.222222222222,969.3333333333334,14.0
31,24.0,907.0,1038.0,36.0,22.0,1721.0,1129.0,25.0,36.0,2250.0,1106.0,24.0,28.0,2282.0,802.0,29.0,28.0,1675.0,1494.0,25.0,24.0,2041.0,1531.0,24.0,24.0,1932.0,1181.0,21.0,26.0,2033.0,490.0,29.0,23.0,1883.0,825.0,23.0,24.0,1728.0,882.0,24.0,24.0,1738.0,512.0,26.0,26.0,2110.0,1220.0,20.0,23.0,2230.0,865.0,24.0,28.0,2822.0,1112.0,31.0,30.0,2192.0,1842.0,28.0,31.0,2528.0,929.0,28.0,26.0,1808.0,1033.0,23.0,24.0,2214.0,307.0,26.0,28.0,1704.0,299.0,34.0,23.0,1641.0,746.0,21.0,34.0,1683.0,1792.0,29.0,30.0,2583.0,1415.0,27.0,14.0,2512.6666666666665,972.0,14.0
32,24.0,908.0,1038.0,36.0,22.0,1722.0,1129.0,25.0,36.0,2251.0,1109.0,24.0,28.0,2281.0,805.0,29.0,29.0,1676.0,1495.0,25.0,24.0,2040.0,1532.0,23.0,24.0,1933.0,1182.0,21.0,26.0,2034.0,491.0,29.0,23.0,1884.0,826.0,23.0,24.0,1729.0,883.0,24.0,24.0,1740.0,514.0,26.0,25.0,2108.0,1222.0,19.0,24.0,2230.0,867.0,24.0,28.333333333333485,2822.0,1112.3333333333333,30.666666666666515,31.0,2191.0,1843.0,28.0,31.0,2526.0,932.0,29.0,27.0,1808.0,1033.0,23.0,24.0,2213.0,306.0,26.0,28.0,1706.0,298.0,34.0,23.0,1643.0,746.0,20.0,34.0,1684.0,1793.0,29.0,30.0,2581.0,1417.0,27.0,14.0,2511.1111111111113,974.6666666666666,14.0
